Classifier,feature selection,underSampling,overSampling,cost sensitive,precision,recall,auc,kappa
ibk,false,true,false,false,0.24031007751937986,0.3502824858757062,0.5966870905281026,0.13960947836895085
ibk,false,true,false,false,0.325,0.42207792207792205,0.656020888681117,0.2688313196439479
ibk,false,true,false,false,0.2422907488986784,0.6875,0.7012023396880416,0.21737947381469228
ibk,false,true,false,false,0.3875968992248062,0.26595744680851063,0.6054940643459311,0.22421842583254753
ibk,false,true,false,false,0.4198473282442748,0.3395061728395062,0.6467009662306186,0.29730502305980816
ibk,false,true,false,false,0.23054755043227665,0.547945205479452,0.6786377013722269,0.19828020389601528
ibk,false,true,false,false,0.3018867924528302,0.6597938144329897,0.7016201620162016,0.26413366190118664
nb,false,true,false,false,0.3953488372093023,0.18681318681318682,0.679338244173409,0.20749279538904922
nb,false,true,false,false,0.2702702702702703,0.5050505050505051,0.6937395343812456,0.25977916631002335
nb,false,true,false,false,0.25961538461538464,0.19285714285714287,0.67874941959449,0.12283063773604586
nb,false,true,false,false,0.56,0.19310344827586207,0.7032768146313584,0.23285151116951391
nb,false,true,false,false,0.6341463414634146,0.21311475409836064,0.7575070721979161,0.2769555633763686
nb,false,true,false,false,0.6216216216216216,0.3150684931506849,0.7326923076923076,0.358517787311591
nb,false,true,false,false,0.5977011494252874,0.3586206896551724,0.7648343475321163,0.39147112834115483
nb,false,true,false,false,0.72,0.20809248554913296,0.724950884086444,0.27569041414780093
nb,false,true,false,false,0.44155844155844154,0.384180790960452,0.6820402641839739,0.3208090054012214
nb,false,true,false,false,0.5865384615384616,0.3961038961038961,0.7909450075824088,0.4168761316080942
nb,false,true,false,false,0.6542056074766355,0.4375,0.8143603769497401,0.47290254518348224
nb,false,true,false,false,0.7837837837837838,0.30851063829787234,0.6891882204507657,0.39321743686070043
nb,false,true,false,false,0.7727272727272727,0.3148148148148148,0.7195036842276106,0.4045048966267681
nb,false,true,false,false,0.6705882352941176,0.3904109589041096,0.7871334523148202,0.44806333255011127
nb,false,true,false,false,0.7241379310344828,0.3247422680412371,0.7579894587396884,0.39247452312516323
rf,false,false,true,false,0.358974358974359,0.3076923076923077,0.7476512498490521,0.2701115678214916
rf,false,false,true,false,0.4098360655737705,0.25252525252525254,0.7692054232161184,0.2583560464782669
rf,false,false,true,false,0.4,0.02857142857142857,0.7168549760099056,0.03641238429620137
rf,false,false,true,false,0.4444444444444444,0.027586206896551724,0.6500704896170699,0.036394493682820515
rf,false,false,true,false,0.7692307692307693,0.08196721311475409,0.7726266406620631,0.1287440845080538
rf,false,false,true,false,0.45098039215686275,0.15753424657534246,0.7239914195393647,0.17440198819509173
rf,false,false,true,false,0.6956521739130435,0.1103448275862069,0.7696213657876944,0.16191483734461826
rf,false,false,true,false,0.7058823529411765,0.13872832369942195,0.7435978968168345,0.19339532229004194
rf,false,false,true,false,0.8148148148148148,0.12429378531073447,0.7213654810217236,0.18493909191583607
rf,false,false,true,false,0.6666666666666666,0.16883116883116883,0.8069136745607334,0.23248588640927476
rf,false,false,true,false,0.5333333333333333,0.35,0.8189368500866551,0.3609802612758653
rf,false,false,true,false,0.625,0.13297872340425532,0.7638713654871824,0.1775998977229141
rf,false,false,true,false,0.5,0.043209876543209874,0.7154082946516485,0.06097192070892192
rf,false,false,true,false,0.5087719298245614,0.19863013698630136,0.7715614547259683,0.23782882414780612
rf,false,false,true,false,0.6309523809523809,0.27319587628865977,0.779470988335947,0.3202260461904677
ibk,false,false,true,false,0.2807017543859649,0.3516483516483517,0.6649196956889265,0.23482979773063645
ibk,false,false,true,false,0.3076923076923077,0.4444444444444444,0.6837735645222276,0.28244274809160325
ibk,false,false,true,false,0.34615384615384615,0.06428571428571428,0.5587099520198112,0.07006821217888819
ibk,false,false,true,false,0.3333333333333333,0.027586206896551724,0.5644999047437607,0.030488938464398853
ibk,false,false,true,false,0.5,0.10655737704918032,0.5968407920861666,0.1407647734251917
ibk,false,false,true,false,0.2972972972972973,0.1506849315068493,0.58964323347885,0.11796195755343789
ibk,false,false,true,false,0.6,0.16551724137931034,0.6021264367816092,0.21733480446242484
ibk,false,false,true,false,0.547945205479452,0.23121387283236994,0.6208052738567065,0.2615415645729998
ibk,false,false,true,false,0.23529411764705882,0.0903954802259887,0.5532054852656428,0.05592788471832652
ibk,false,false,true,false,0.4666666666666667,0.13636363636363635,0.5966643102288405,0.16613883103919952
ibk,false,false,true,false,0.4329268292682927,0.44375,0.7179646880415944,0.359292281972694
ibk,false,false,true,false,0.47058823529411764,0.0851063829787234,0.5787453881592781,0.10450735043725852
ibk,false,false,true,false,0.2962962962962963,0.04938271604938271,0.5022451607318683,0.05094329295761579
ibk,false,false,true,false,0.35051546391752575,0.2328767123287671,0.6271437351519378,0.2092031953904381
ibk,false,false,true,false,0.43410852713178294,0.28865979381443296,0.6388087262334481,0.25872832556674585
nb,false,false,true,false,0.45,0.0989010989010989,0.6494686632049269,0.1337849280270957
nb,false,false,true,false,0.45977011494252873,0.40404040404040403,0.6989953005995787,0.37404196507098886
nb,false,false,true,false,0.5740740740740741,0.22142857142857142,0.6936194087602539,0.2657533673116972
nb,false,false,true,false,0.5918367346938775,0.2,0.7055248618784531,0.24639822681935733
nb,false,false,true,false,0.6,0.27049180327868855,0.7731493683341241,0.32432276490782697
nb,false,false,true,false,0.625,0.3082191780821918,0.748385518590998,0.3538320330426803
nb,false,false,true,false,0.6219512195121951,0.35172413793103446,0.767447599729547,0.39493092344447955
nb,false,false,true,false,0.68,0.2947976878612717,0.7216916315568325,0.3545865532369772
nb,false,false,true,false,0.5476190476190477,0.3898305084745763,0.700843478952813,0.38222366921699485
nb,false,false,true,false,0.6039603960396039,0.3961038961038961,0.7892831488090487,0.4240958852270709
nb,false,false,true,false,0.66,0.4125,0.8072871533795494,0.4568143650691124
nb,false,false,true,false,0.7662337662337663,0.31382978723404253,0.6895705492152702,0.3944296149936826
nb,false,false,true,false,0.75,0.3333333333333333,0.7203205981324591,0.4169276992904171
nb,false,false,true,false,0.6951219512195121,0.3904109589041096,0.7848877752431832,0.45624205032237286
nb,false,false,true,false,0.7530864197530864,0.31443298969072164,0.7597270036281979,0.3902371986916967
rf,true,false,false,false,0.45652173913043476,0.23076923076923078,0.7492271464798937,0.2614840989399296
rf,true,false,false,false,0.48148148148148145,0.13131313131313133,0.7596823853508345,0.17238950519457644
rf,true,false,false,false,0.42857142857142855,0.02142857142857143,0.6168665841201052,0.028632348461772563
rf,true,false,false,false,0.0,0.0,0.6452467136597447,-0.0018953009607217753
rf,true,false,false,false,0.5,0.01639344262295082,0.766626254107146,0.024584324840475083
rf,true,false,false,false,0.6206896551724138,0.1232876712328767,0.7713307240704501,0.1675702651815894
rf,true,false,false,false,0.7142857142857143,0.034482758620689655,0.766473968897904,0.05495572693516157
rf,true,false,false,false,0.7307692307692307,0.10982658959537572,0.7371248168799754,0.1590347918759018
rf,true,false,false,false,0.7647058823529411,0.07344632768361582,0.7638418079096045,0.11183756863746619
rf,true,false,false,false,0.7586206896551724,0.14285714285714285,0.8092169025004846,0.21064004532538086
rf,true,false,false,false,0.5660377358490566,0.1875,0.8243365467937608,0.23535497219707713
rf,true,false,false,false,0.6226415094339622,0.17553191489361702,0.7972725621762153,0.22457452496994368
rf,true,false,false,false,0.5121951219512195,0.12962962962962962,0.778048279070774,0.16495969748233683
rf,true,false,false,false,0.6341463414634146,0.1780821917808219,0.7962136702636897,0.24083115360914922
rf,true,false,false,false,0.5581395348837209,0.24742268041237114,0.7714072953687121,0.2768166923670004
ibk,true,false,false,false,0.42424242424242425,0.3076923076923077,0.7235901461176186,0.3034482758620687
ibk,true,false,false,false,0.29,0.29292929292929293,0.6542537676227516,0.21601798178161616
ibk,true,false,false,false,0.3333333333333333,0.02142857142857143,0.6444861476551618,0.024751871788126642
ibk,true,false,false,false,0.3333333333333333,0.020689655172413793,0.5675938273956944,0.023194418253818416
ibk,true,false,false,false,0.6,0.07377049180327869,0.6021251735104458,0.1088198757763971
ibk,true,false,false,false,0.35,0.0958904109589041,0.6065369561944904,0.09683007102026642
ibk,true,false,false,false,0.5333333333333333,0.1103448275862069,0.6149560513860717,0.1464326886127836
ibk,true,false,false,false,0.6904761904761905,0.1676300578034682,0.7691665625674279,0.22583249493858
ibk,true,false,false,false,0.5681818181818182,0.14124293785310735,0.7420201055674915,0.17969456096034914
ibk,true,false,false,false,0.5384615384615384,0.18181818181818182,0.8315080441946113,0.22525984453267905
ibk,true,false,false,false,0.48717948717948717,0.2375,0.8009396663778163,0.26028939577165217
ibk,true,false,false,false,0.5301204819277109,0.23404255319148937,0.7557038672554529,0.2591461991579612
ibk,true,false,false,false,0.5555555555555556,0.21604938271604937,0.7914678482163144,0.2595586644816195
ibk,true,false,false,false,0.559322033898305,0.22602739726027396,0.8077966362121337,0.2752809662121404
ibk,true,false,false,false,0.5783132530120482,0.24742268041237114,0.8137672014624143,0.2826643505091396
nb,true,false,false,false,0.8333333333333334,0.054945054945054944,0.5823632411544499,0.0928909952606626
nb,true,false,false,false,0.56,0.2828282828282828,0.7309458218549127,0.33297726232260066
nb,true,false,false,false,0.6428571428571429,0.12857142857142856,0.7057266676984987,0.17820831185868852
nb,true,false,false,false,0.625,0.13793103448275862,0.7082720518193941,0.1853089426289854
nb,true,false,false,false,0.6285714285714286,0.18032786885245902,0.7774761478045438,0.24112797988478313
nb,true,false,false,false,0.6333333333333333,0.2602739726027397,0.7484833659491194,0.3136549076073919
nb,true,false,false,false,0.6779661016949152,0.27586206896551724,0.765736984448952,0.3450011335298118
nb,true,false,false,false,0.6666666666666666,0.2543352601156069,0.7195169038236596,0.3130936966460792
nb,true,false,false,false,0.7162162162162162,0.2994350282485876,0.746539879578791,0.3693135256666178
nb,true,false,false,false,0.6823529411764706,0.37662337662337664,0.8197382073589273,0.4377207465520231
nb,true,false,false,false,0.6896551724137931,0.375,0.8200714904679376,0.4375872040118903
nb,true,false,false,false,0.7341772151898734,0.30851063829787234,0.6884450689147598,0.381574183962249
nb,true,false,false,false,0.7368421052631579,0.345679012345679,0.7081669750381406,0.42492556656975683
nb,true,false,false,false,0.6790123456790124,0.3767123287671233,0.7832567045279941,0.4398586852444945
nb,true,false,false,false,0.7176470588235294,0.31443298969072164,0.7433328384384831,0.38122706612506246
rf,true,true,false,false,0.12786259541984732,0.7362637362637363,0.739119671537254,0.07451460556235777
rf,true,true,false,false,0.18461538461538463,0.7272727272727273,0.7695295197968994,0.16730858111230942
rf,true,true,false,false,0.3333333333333333,0.12857142857142856,0.7115926327193933,0.12112903057006195
rf,true,true,false,false,0.3381294964028777,0.32413793103448274,0.7068355877309964,0.2264143627127846
rf,true,true,false,false,0.4,0.47540983606557374,0.8101136822869994,0.3532206004750205
rf,true,true,false,false,0.334841628959276,0.5068493150684932,0.7598449495709769,0.28405671475450434
rf,true,true,false,false,0.48507462686567165,0.4482758620689655,0.78631507775524,0.3934305931685159
rf,true,true,false,false,0.35177865612648224,0.5144508670520231,0.7466839660674336,0.296454738607239
rf,true,true,false,false,0.339041095890411,0.559322033898305,0.7811278215431952,0.29751424456828013
rf,true,true,false,false,0.3215434083601286,0.6493506493506493,0.8169845957378881,0.32210850774645494
rf,true,true,false,false,0.30513595166163143,0.63125,0.8244638214904679,0.2957938188682883
rf,true,true,false,false,0.39147286821705424,0.5372340425531915,0.8009835407466881,0.34308974045915275
rf,true,true,false,false,0.31833910034602075,0.5679012345679012,0.7847918763051688,0.2957711981571482
rf,true,true,false,false,0.32441471571906355,0.6643835616438356,0.8262525559350881,0.3361497475765934
rf,true,true,false,false,0.3881118881118881,0.5721649484536082,0.8186875388569785,0.34678095267658965
ibk,true,true,false,false,0.14346895074946467,0.7362637362637363,0.6366139355150344,0.10376633358954654
ibk,true,true,false,false,0.181058495821727,0.6565656565656566,0.6743693620698968,0.15736540038261826
