@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
4,86,44,2,1,37,94,47,90,4,4,false
1,74,19,1,1,37,74,74,74,0,0,false
1,79,45,1,1,37,79,79,79,0,0,false
3,89,47,2,2,37,89,44,89,2,2,false
2,173,116,2,2,37,175,87,174,10,10,false
1,78,43,1,1,37,78,78,78,0,0,false
1,58,31,2,2,37,58,29,58,2,2,false
1,67,34,1,1,37,67,67,67,0,0,false
1,48,20,1,1,37,48,48,48,0,0,false
1,59,29,1,1,37,59,59,59,0,0,false
5,80,48,1,1,37,80,80,80,0,0,false
2,63,32,1,1,37,63,63,63,0,0,false
10,123,86,2,1,37,123,61,123,1,1,false
1,48,20,1,1,37,48,48,48,0,0,false
35,262,192,1,1,37,262,262,262,0,0,false
9,130,80,2,2,37,130,65,124,1,1,false
70,1571,1203,2,2,37,1575,787,1573,13,13,false
23,169,111,2,2,37,169,84,169,4,4,false
9,92,56,1,1,37,92,92,92,0,0,false
4,65,35,1,1,37,65,65,65,0,0,false
11,133,95,1,1,37,133,133,133,0,0,false
55,399,329,2,2,37,403,201,401,13,13,false
16,254,201,2,2,37,256,128,255,10,10,false
38,257,177,2,2,37,259,129,258,4,4,false
3,83,49,1,1,37,83,83,83,0,0,false
6,95,62,1,1,37,95,95,95,0,0,false
9,145,93,2,2,37,145,72,144,3,3,false
1,96,28,2,2,37,96,48,96,3,3,false
1,149,41,2,2,37,149,74,149,7,7,false
13,230,182,2,2,37,237,118,234,10,10,false
43,421,349,2,2,37,438,219,430,22,22,false
8,174,118,2,2,37,176,88,175,9,9,false
6,104,68,1,1,37,104,104,104,0,0,false
3,93,58,1,1,37,93,93,93,0,0,false
6,110,74,1,1,37,110,110,110,0,0,false
3,80,46,1,1,37,80,80,80,0,0,false
16,258,188,2,2,37,262,131,260,6,6,false
1,86,43,1,1,37,86,86,86,0,0,false
1,55,21,1,1,37,55,55,55,0,0,false
1,51,17,1,1,37,51,51,51,0,0,false
1,52,18,1,1,37,52,52,52,0,0,false
2,60,25,1,1,37,60,60,60,0,0,false
2,46,20,1,1,37,46,46,46,0,0,false
4,81,49,1,1,37,81,81,81,0,0,false
55,399,331,2,2,37,401,200,400,5,5,false
11,84,46,1,1,37,85,85,85,0,0,false
2,94,59,2,2,37,94,47,94,5,5,false
2,93,59,2,2,37,93,46,93,5,5,false
93,730,609,5,2,37,742,148,731,44,29,false
5,167,122,2,2,37,173,86,170,14,14,false
5,167,122,2,2,37,173,86,170,14,14,false
16,207,135,1,1,37,207,207,207,0,0,false
31,311,247,3,2,37,311,103,309,11,6,false
24,267,214,4,2,37,289,72,276,21,11,false
29,321,220,1,1,37,321,321,321,0,0,false
52,518,388,2,2,37,536,268,527,35,35,false
16,256,195,2,2,37,258,129,257,5,5,false
23,162,119,2,2,37,162,81,161,3,3,false
2,61,33,2,2,37,63,31,62,4,4,false
1,48,21,1,1,37,48,48,48,0,0,false
1,43,16,1,1,37,43,43,43,0,0,false
7,119,81,2,2,37,119,59,119,3,3,false
11,129,90,2,1,37,129,64,129,1,1,false
10,151,110,1,1,37,151,151,151,0,0,false
74,707,458,1,1,37,707,707,707,0,0,false
10,287,137,1,1,37,287,287,287,0,0,false
10,185,87,1,1,37,185,185,185,0,0,false
